,ppr
1127,202.81737588652481
1128,202.76350752878653
1129,202.69203539823008
1130,202.54022988505747
1131,202.3613074204947
1132,202.3442188879082
1133,202.36596119929453
1134,202.36740088105728
1135,202.36355633802816
1136,202.3702726473175
1137,202.43145869947276
1138,202.459174714662
1139,202.55263157894737
1140,202.64855390008765
1141,202.65323992994746
1142,202.6570428696413
1143,202.66171328671328
1144,202.6602620087336
1145,202.6352530541012
1146,202.5998256320837
1147,202.56445993031357
1148,202.49782419495213
1149,202.4791304347826
1150,202.50043440486533
1151,202.54600694444446
1152,202.58109280138768
1153,202.5797227036395
1154,202.5982683982684
1155,202.59342560553634
1156,202.59636992221263
1157,202.59153713298792
1158,202.57290767903365
1159,202.53793103448277
1160,202.56416881998277
1161,202.57401032702236
1162,202.58039552880481
1163,202.57474226804123
1164,202.60858369098713
1165,202.6106346483705
1166,202.63838903170523
1167,202.66181506849315
1168,202.66723695466212
1169,202.66923076923078
1170,202.70111016225448
1171,202.7329351535836
1172,202.768115942029
1173,202.8160136286201
1174,202.84340425531914
1175,202.86989795918367
1176,202.88870008496176
1177,202.95925297113752
1178,202.98558100084819
1179,203.07542372881355
1180,203.16765453005928
1181,203.17174280879865
1182,203.16483516483515
1183,203.1689189189189
1184,203.15021097046414
1185,203.11551433389545
1186,203.07076663858467
1187,203.02693602693603
1188,202.95878889823382
1189,202.90840336134454
1190,202.84718723761546
1191,202.80369127516778
1192,202.78709136630343
1193,202.78475711892798
1194,202.76485355648535
1195,202.72408026755852
1196,202.68838763575604
1197,202.63939899833056
1198,202.60967472894077
1199,202.61416666666668
1200,202.60865945045796
1201,202.62479201331115
1202,202.63923524522028
1203,202.71345514950167
1204,202.73278008298755
1205,202.73714759535656
1206,202.66942833471415
1207,202.5480132450331
1208,202.38047973531843
1209,202.3404958677686
1210,202.345995045417
1211,202.3506600660066
1212,202.34707337180544
1213,202.334431630972
1214,202.3045267489712
1215,202.30098684210526
1216,202.2859490550534
1217,202.2816091954023
1218,202.26333059885152
1219,202.23032786885247
1220,202.2047502047502
1221,202.19230769230768
1222,202.2363041700736
1223,202.25898692810458
1224,202.26367346938775
1225,202.26345840130506
1226,202.25346373268133
1227,202.2345276872964
1228,202.1879576891782
1229,202.17642276422765
1230,202.18115353371243
1231,202.18912337662337
1232,202.20437956204378
1233,202.21717990275528
1234,202.2485829959514
1235,202.28074433656957
1236,202.3055780113177
1237,202.31340872374798
1238,202.317998385795
1239,202.31129032258065
1240,202.2747784045125
1241,202.2342995169082
1242,202.19308125502815
1243,202.15916398713827
1244,202.13493975903614
1245,202.08908507223114
1246,202.04330392943064
1247,201.99358974358975
1248,201.9503602882306
1249,201.9184
1250,201.8800959232614
1251,201.86341853035142
1252,201.82761372705508
1253,201.79665071770336
1254,201.75298804780877
1255,201.718949044586
1256,201.69053301511536
1257,201.664546899841
1258,201.64336775218428
1259,201.61428571428573
1260,201.59318001586044
1261,201.59825673534073
1262,201.5771971496437
1263,201.5727848101266
1264,201.55889328063242
1265,201.5521327014218
1266,201.53906866614048
1267,201.52208201892745
1268,201.50512214342
1269,201.48425196850394
1270,201.4697088906373
1271,201.4488993710692
1272,201.41948153967007
1273,201.39246467817895
1274,201.40392156862745
1275,201.41927899686522
1276,201.4463586530932
1277,201.4866979655712
1278,201.49491790461298
1279,201.5109375
1280,201.5206869633099
1281,201.55226209048362
1282,201.564302416212
1283,201.56931464174454
1284,201.57821011673153
1285,201.58786936236393
1286,201.5990675990676
1287,201.60403726708074
1288,201.59193173002328
1289,201.57441860465116
1290,201.5422153369481
1291,201.4876160990712
1292,201.36813611755608
1293,201.21251931993817
1294,201.16216216216216
1295,201.17206790123456
1296,201.18195836545874
1297,201.193374422188
1298,201.19091608929946
1299,201.17923076923077
1300,201.16756341275942
1301,201.1505376344086
1302,201.11895625479661
1303,201.06518404907976
1304,200.95785440613028
1305,200.83996937212865
1306,200.70390206579955
1307,200.6269113149847
1308,200.55080213903744
1309,200.46641221374045
1310,200.38749046529367
1311,200.2903963414634
1312,200.1843107387662
1313,200.03196347031962
1314,199.87984790874523
1315,199.72796352583586
1316,199.57630979498862
1317,199.4248861911988
1318,199.27369219105384
1319,199.16666666666666
1320,199.1332323996972
1321,199.1127080181543
1322,199.0907029478458
1323,199.04984894259817
1324,199.01735849056604
1325,198.99622926093514
1326,198.97814619442352
1327,198.92996987951807
1328,198.8502633559067
1329,198.7563909774436
1330,198.65289256198346
1331,198.50375375375376
1332,198.3548387096774
1333,198.20614692653672
1334,198.05767790262172
1335,197.90943113772454
1336,197.76140613313387
1337,197.61360239162929
1338,197.46601941747574
1339,197.3186567164179
1340,197.17151379567488
1341,197.02459016393442
1342,196.87788533134773
1343,196.7313988095238
1344,196.58513011152417
1345,196.43907875185735
1346,196.29324424647365
1347,196.14762611275964
1348,196.002223869533
1349,195.90222222222224
1350,195.80236861584012
1351,195.72707100591717
1352,195.67923133776793
1353,195.56942392909897
1354,195.42509225092252
1355,195.3429203539823
1356,195.3036109064112
1357,195.31885125184095
1358,195.3119941133186
1359,195.3
1360,195.27406318883175
1361,195.22687224669605
1362,195.11812179016874
1363,195.1033724340176
1364,195.0915750915751
1365,195.06588579795022
1366,195.01901975128018
1367,194.91081871345028
1368,194.76844411979548
1369,194.68759124087592
1370,194.65718453683442
1371,194.6384839650146
1372,194.62418062636561
1373,194.61353711790392
1374,194.60872727272726
1375,194.60683139534885
1376,194.6071169208424
1377,194.61030478955007
1378,194.60841189267586
